07-12 16:24:59.494  8050  8050 E AndroidRuntime:        at android.view.ViewGroup.drawChild(ViewGroup.java:4556)
07-12 16:24:59.494  8050  8050 E AndroidRuntime:        at android.view.ViewGroup.dispatchDraw(ViewGroup.java:4312)
07-12 16:24:59.494  8050  8050 E AndroidRuntime:        at android.view.View.updateDisplayListIfDirty(View.java:23718)
07-12 16:24:59.494  8050  8050 E AndroidRuntime:        at android.view.View.draw(View.java:24608)
07-12 16:24:59.494  8050  8050 E AndroidRuntime:        at android.view.ViewGroup.drawChild(ViewGroup.java:4556)
07-12 16:24:59.494  8050  8050 E AndroidRuntime:        at android.view.ViewGroup.dispatchDraw(ViewGroup.java:4312)
07-12 16:24:59.494  8050  8050 E AndroidRuntime:        at android.view.View.updateDisplayListIfDirty(View.java:23718)
07-12 16:24:59.494  8050  8050 E AndroidRuntime:        at android.view.View.draw(View.java:24608)
07-12 16:24:59.494  8050  8050 E AndroidRuntime:        at android.view.ViewGroup.drawChild(ViewGroup.java:4556)
07-12 16:24:59.494  8050  8050 E AndroidRuntime:        at android.view.ViewGroup.dispatchDraw(ViewGroup.java:4312)
07-12 16:24:59.494  8050  8050 E AndroidRuntime:        at android.view.View.draw(View.java:24880)
07-12 16:24:59.494  8050  8050 E AndroidRuntime:        at com.android.internal.policy.DecorView.draw(DecorView.java:787)
07-12 16:24:59.494  8050  8050 E AndroidRuntime:        at android.view.View.updateDisplayListIfDirty(View.java:23727)
07-12 16:24:59.494  8050  8050 E AndroidRuntime:        at android.view.ThreadedRenderer.updateViewTreeDisplayList(ThreadedRenderer.java:694)
07-12 16:24:59.494  8050  8050 E AndroidRuntime:        at android.view.ThreadedRenderer.updateRootDisplayList(ThreadedRenderer.java:700)
07-12 16:24:59.494  8050  8050 E AndroidRuntime:        at android.view.ThreadedRenderer.draw(ThreadedRenderer.java:798)
07-12 16:24:59.494  8050  8050 E AndroidRuntime:        at android.view.ViewRootImpl.draw(ViewRootImpl.java:5726)
07-12 16:24:59.494  8050  8050 E AndroidRuntime:        at android.view.ViewRootImpl.performDraw(ViewRootImpl.java:5378)
07-12 16:24:59.494  8050  8050 E AndroidRuntime:        at android.view.ViewRootImpl.performTraversals(ViewRootImpl.java:4377)
07-12 16:24:59.494  8050  8050 E AndroidRuntime:        at android.view.ViewRootImpl.doTraversal(ViewRootImpl.java:2977)
07-12 16:24:59.494  8050  8050 E AndroidRuntime:        at android.view.ViewRootImpl$TraversalRunnable.run(ViewRootImpl.java:10429)
07-12 16:24:59.494  8050  8050 E AndroidRuntime:        at android.view.Choreographer$CallbackRecord.run(Choreographer.java:1415)
07-12 16:24:59.494  8050  8050 E AndroidRuntime:        at android.view.Choreographer$CallbackRecord.run(Choreographer.java:1424)
07-12 16:24:59.494  8050  8050 E AndroidRuntime:        at android.view.Choreographer.doCallbacks(Choreographer.java:1024)
07-12 16:24:59.495  8050  8050 E AndroidRuntime:        at android.view.Choreographer.doFrame(Choreographer.java:953)
07-12 16:24:59.495  8050  8050 E AndroidRuntime:        at android.view.Choreographer$FrameDisplayEventReceiver.run(Choreographer.java:1398)
07-12 16:24:59.495  8050  8050 E AndroidRuntime:        at android.os.Handler.handleCallback(Handler.java:991)
07-12 16:24:59.495  8050  8050 E AndroidRuntime:        at android.os.Handler.dispatchMessage(Handler.java:102)
07-12 16:24:59.495  8050  8050 E AndroidRuntime:        at android.os.Looper.loopOnce(Looper.java:232)
07-12 16:24:59.495  8050  8050 E AndroidRuntime:        at android.os.Looper.loop(Looper.java:317)
07-12 16:24:59.495  8050  8050 E AndroidRuntime:        at android.app.ActivityThread.main(ActivityThread.java:8787)
07-12 16:24:59.495  8050  8050 E AndroidRuntime:        at java.lang.reflect.Method.invoke(Native Method)
07-12 16:24:59.495  8050  8050 E AndroidRuntime:        at com.android.internal.os.RuntimeInit$MethodAndArgsCaller.run(RuntimeInit.java:591)
07-12 16:24:59.495  8050  8050 E AndroidRuntime:        at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:871)
07-12 16:25:00.086  4180  5911 E ClientLoggingBackend: Logging to Clearcut failed.
07-12 16:25:00.086  4180  5911 E ClientLoggingBackend: ceye: 31003: Log dropped because of storage quota exceeded.
07-12 16:25:00.086  4180  5911 E ClientLoggingBackend:  at cfco.a(PG:15)
07-12 16:25:00.086  4180  5911 E ClientLoggingBackend:  at cfec.a(PG:29)
07-12 16:25:00.086  4180  5911 E ClientLoggingBackend:  at com.google.android.gms.common.api.internal.BasePendingResult.o(PG:74)
07-12 16:25:00.086  4180  5911 E ClientLoggingBackend:  at com.google.android.gms.common.api.internal.BasePendingResult.l(PG:35)
07-12 16:25:00.086  4180  5911 E ClientLoggingBackend:  at ceun.onLogEvent(PG:3)
07-12 16:25:00.086  4180  5911 E ClientLoggingBackend:  at com.google.android.gms.clearcut.internal.IClearcutLoggerCallbacks$Stub.dispatchTransaction(PG:139)
07-12 16:25:00.086  4180  5911 E ClientLoggingBackend:  at com.google.android.aidl.BaseStub.onTransact(PG:13)
07-12 16:25:00.086  4180  5911 E ClientLoggingBackend:  at android.os.Binder.execTransactInternal(Binder.java:1396)
07-12 16:25:00.086  4180  5911 E ClientLoggingBackend:  at android.os.Binder.execTransact(Binder.java:1335)
07-12 16:25:00.086  4180  4271 E ClientLoggingBackend: Logging to Clearcut failed.
07-12 16:25:00.086  4180  4271 E ClientLoggingBackend: ceye: 31003: Log dropped because of storage quota exceeded.
07-12 16:25:00.086  4180  4271 E ClientLoggingBackend:  at cfco.a(PG:15)
07-12 16:25:00.086  4180  4271 E ClientLoggingBackend:  at cfec.a(PG:29)
07-12 16:25:00.086  4180  4271 E ClientLoggingBackend:  at com.google.android.gms.common.api.internal.BasePendingResult.o(PG:74)
07-12 16:25:00.086  4180  4271 E ClientLoggingBackend:  at com.google.android.gms.common.api.internal.BasePendingResult.l(PG:35)
07-12 16:25:00.086  4180  4271 E ClientLoggingBackend:  at ceun.onLogEvent(PG:3)
07-12 16:25:00.086  4180  4271 E ClientLoggingBackend:  at com.google.android.gms.clearcut.internal.IClearcutLoggerCallbacks$Stub.dispatchTransaction(PG:139)
07-12 16:25:00.086  4180  4271 E ClientLoggingBackend:  at com.google.android.aidl.BaseStub.onTransact(PG:13)
07-12 16:25:00.086  4180  4271 E ClientLoggingBackend:  at android.os.Binder.execTransactInternal(Binder.java:1396)
07-12 16:25:00.086  4180  4271 E ClientLoggingBackend:  at android.os.Binder.execTransact(Binder.java:1335)
07-12 16:25:00.365   546   546 E BpTransactionCompletedListener: Failed to transact (-32)
07-12 16:25:01.177  1618  1694 E AutofillSession: No assist structure - app might have crashed providing it
